a,b,LABEL
-0.93941,3.3858,Fatal
0.90236,1.61873,Ok
0.20626,7.16942,Ok
0.31794,6.65424,Ok
0.89843,1.63379,Ok
0.77377,4.91854,Fatal
0.31215,6.81313,Ok
-0.15661,1.48126,Ok
0.93176,4.40991,Fatal
0.83918,4.47533,Fatal
0.92406,1.44428,Ok
0.9495,4.40899,Fatal
-0.39648,5.7278,Fatal
-0.15799,1.79348,Ok
-0.28281,5.9782,Fatal
0.85818,4.51161,Fatal
0.89805,4.98786,Fatal
-0.31788,5.85217,Fatal
-0.0227,1.66336,Ok
0.16364,7.13832,Ok
0.83484,1.15616,Ok
-0.35458,5.99876,Fatal
0.22626,6.6591,Ok
-0.35441,5.79609,Fatal
-0.04997,1.93827,Ok
0.85355,5.08958,Fatal
0.2048,7.13078,Ok
0.91181,1.57903,Ok
0.9582,1.32018,Ok
0.92603,1.59296,Ok
-0.07769,1.41987,Ok
-0.15944,1.23221,Ok
0.7838,4.2612,Fatal
0.35168,7.11201,Ok
0.77107,4.9073,Fatal
-0.32558,5.82033,Fatal
-0.2345,5.88159,Fatal
-0.30644,5.86938,Fatal
-0.10856,2.17646,Ok
0.82291,4.97751,Fatal
-0.09546,1.89921,Ok
0.90358,4.58136,Fatal
-0.08281,1.62817,Ok
0.18133,7.00121,Ok
0.86795,4.53749,Fatal
-0.25593,6.34242,Fatal
0.3153,7.06522,Ok
0.20703,7.00561,Ok
-0.03865,1.82427,Ok
-0.08235,1.56516,Ok
-0.12265,1.67116,Ok
0.2153,6.93209,Ok
-0.23916,5.99666,Fatal
-0.35934,5.83225,Fatal
0.87694,4.60828,Fatal
0.89839,0.99726,Ok
0.16906,7.02879,Ok
-0.30185,5.81952,Fatal
-0.34408,5.86508,Fatal
0.9028,1.82689,Ok
-0.1707,1.58278,Ok
0.89566,4.83438,Fatal
-0.31291,6.16509,Fatal
-0.36383,6.05299,Fatal
0.91347,1.1517,Ok
0.947,4.61521,Fatal
-0.31282,6.09482,Fatal
-0.13002,2.11604,Ok
0.18447,6.7802,Ok
0.94324,1.10886,Ok
-0.03645,1.03563,Ok
-0.09914,1.92072,Ok
0.89103,1.31491,Ok
0.21167,6.74423,Ok
-0.08381,1.64688,Ok
-0.03636,1.86053,Ok
0.91871,1.5443,Ok
0.92691,4.76343,Fatal
0.84231,1.25383,Ok
-0.29875,6.26579,Fatal
-0.44966,8.61174,Fatal
-0.18722,1.55826,Ok
-0.22547,6.36916,Fatal
-0.14507,1.59265,Ok
0.7894,1.39251,Ok
0.23444,7.14294,Ok
0.9303,4.38787,Fatal
-0.07097,1.96986,Ok
-0.12116,1.56713,Ok
0.22249,6.7212,Ok
0.23546,6.83297,Ok
0.87929,1.17815,Ok
-0.24346,5.61366,Fatal
0.92674,1.19141,Ok
-0.29689,5.96544,Fatal
0.92073,4.50682,Fatal
-0.40358,5.8525,Fatal
-0.27708,5.95572,Fatal
-0.3045,6.05038,Fatal
0.2436,6.79223,Ok
0.89543,1.13192,Ok
0.89123,4.56033,Fatal
0.2439,7.358,Ok
0.92783,1.20826,Ok
-0.29202,6.17128,Fatal
0.22228,7.28817,Ok
0.82468,4.64242,Fatal
0.22951,7.04709,Ok
-0.04437,1.87473,Ok
-0.20124,1.30907,Ok
0.24296,7.15647,Ok
-0.31424,5.79941,Fatal
0.92381,1.29781,Ok
-0.2962,6.51688,Fatal
0.12971,7.01662,Ok
-0.2939,5.83602,Fatal
-0.30662,6.08001,Fatal
0.96759,1.55306,Ok
-0.13054,1.59908,Ok
-0.13427,1.26058,Ok
-0.14441,1.74909,Ok
-0.25946,5.6749,Fatal
0.7963,4.12219,Fatal
0.97997,1.42484,Ok
-0.2519,6.00796,Fatal
0.90302,1.34672,Ok
-0.18842,1.6064,Ok
0.19297,6.98893,Ok
-0.27396,5.92447,Fatal
0.90524,0.94282,Ok
-0.25657,5.52541,Fatal
0.16747,6.93787,Ok
-0.08987,1.83922,Ok
-0.23782,5.97603,Fatal
0.87255,4.24232,Fatal
-0.07893,1.80914,Ok
0.21207,6.93799,Ok
-0.15672,1.89937,Ok
0.85336,4.90262,Fatal
0.24942,6.88821,Ok
0.27373,7.35227,Ok
0.79351,1.25085,Ok
-0.14128,2.09621,Ok
0.84102,4.31083,Fatal
-0.39767,0.57344,Fatal
-0.3426,5.85881,Fatal
0.20133,6.68777,Ok
-0.38627,5.35889,Fatal
-0.27475,5.57306,Fatal
-0.28966,5.85083,Fatal
-0.26669,5.89132,Fatal
0.93399,0.86543,Ok
-0.25959,6.02306,Fatal
-0.29138,5.96833,Fatal
-0.17249,1.57154,Ok
0.93009,1.09459,Ok
0.20901,6.89389,Ok
-0.29651,6.36089,Fatal
-0.14729,1.39655,Ok
-0.20837,5.68794,Fatal
0.00093,1.53285,Ok
-0.18651,1.57737,Ok
0.28606,7.60947,Ok
-0.09649,1.85165,Ok
-0.10405,2.07521,Ok
0.18555,6.62866,Ok
-0.09972,1.24355,Ok
0.28654,7.12991,Ok
-0.25652,5.42214,Fatal
0.906,4.92236,Fatal
0.95719,1.67191,Ok
-0.08704,1.27355,Ok
0.85024,4.41794,Fatal
0.23089,7.0792,Ok
0.28977,7.11745,Ok
-0.20416,1.40954,Ok
-0.33548,5.58687,Fatal
-0.1173,1.39353,Ok
-0.06066,1.80111,Ok
-0.22401,1.61789,Ok
-0.1632,1.47464,Ok
0.20423,7.12189,Ok
0.84167,4.68428,Fatal
-0.30375,5.47832,Fatal
0.97652,1.1939,Ok
0.86098,4.60711,Fatal
0.88772,4.51202,Fatal
0.25762,7.04654,Ok
0.89232,4.3692,Fatal
0.94168,1.43908,Ok
-0.30872,5.94329,Fatal
-0.08994,1.48788,Ok
0.91546,4.47967,Fatal
-0.29161,5.79505,Fatal
-0.29575,5.88826,Fatal
-0.25085,5.43893,Fatal
0.21821,6.84131,Ok
-0.32091,5.77708,Fatal
-0.14965,1.54339,Ok
-0.2805,5.92854,Fatal
-0.04057,1.63293,Ok
0.18647,7.26919,Ok
-0.10355,1.3186,Ok
-0.30078,6.59908,Fatal
-0.30902,5.64065,Fatal
0.7956,4.68774,Fatal
-0.14267,1.71605,Ok
-0.10407,1.73318,Ok
-0.27413,5.75012,Fatal
-0.16601,1.49563,Ok
0.88166,1.32032,Ok
-0.05977,1.61547,Ok
-0.28664,5.66794,Fatal
-0.10543,1.72793,Ok
0.9822,4.606,Fatal
0.94779,1.08962,Ok
0.95262,1.02821,Ok
0.85987,1.63286,Ok
-0.22837,5.78341,Fatal
-0.18534,1.45854,Ok
-0.27888,5.91254,Fatal
0.90761,1.1124,Ok
0.86908,4.25176,Fatal
-0.11693,1.43798,Ok
-0.32677,5.96832,Fatal
-0.27689,5.87867,Fatal
0.91229,4.37688,Fatal
-0.32088,5.87648,Fatal
-0.3322,6.06841,Fatal
-0.15192,1.65409,Ok
0.92193,4.70147,Fatal
0.933,1.5519,Ok
-0.31979,6.15272,Fatal
-0.33904,5.6951,Fatal
0.91454,4.1781,Fatal
0.91855,1.50589,Ok
-0.08242,1.69765,Ok
-0.18192,1.56917,Ok
0.15051,6.66733,Ok
-0.11294,1.68872,Ok
-0.13541,1.66192,Ok
0.2939,6.65294,Ok
0.87056,1.93691,Ok
-0.20398,1.9694,Ok
0.19223,6.83488,Ok
0.81634,4.97288,Fatal
0.29487,6.92883,Ok
-0.09695,1.56298,Ok
0.26356,6.73712,Ok
-0.11281,1.47493,Ok
-0.89732,8.24174,Fatal
0.89592,1.72499,Ok
-0.1374,1.44119,Ok
0.8792,4.56032,Fatal
-0.07117,1.67655,Ok
-0.1648,0.97503,Ok
0.91326,1.09954,Ok
0.36975,6.9211,Ok
0.83076,4.4453,Fatal
0.30951,6.85398,Ok
-0.28131,5.78554,Fatal
-0.05252,1.43743,Ok
-0.15975,1.45788,Ok
0.79091,4.7665,Fatal
-0.08553,1.77881,Ok
0.9021,1.43842,Ok
0.91058,1.31517,Ok
0.88203,1.16054,Ok
-0.16169,1.01174,Ok
0.20551,6.69688,Ok
-0.06116,1.36684,Ok
0.89755,1.186,Ok
0.18869,7.08356,Fatal
-0.09898,1.81812,Ok
0.91415,1.44231,Ok
0.953,1.21802,Ok
-0.25184,5.64229,Fatal
-0.17956,1.19409,Ok
0.15271,7.34413,Ok
0.88692,4.64241,Fatal
-0.27,6.33806,Fatal
0.32531,7.33357,Ok
-0.30195,5.70816,Fatal
0.25313,7.03884,Ok
0.25445,6.64087,Ok
0.91171,4.59198,Fatal
0.99937,1.2361,Ok
-0.04932,1.60551,Ok
0.13965,6.81986,Ok
-0.36675,5.71514,Fatal
0.82125,1.18255,Ok
-0.08767,1.59594,Ok
0.25518,7.02394,Ok
0.934,0.86631,Ok
0.90779,4.40708,Fatal
-0.11222,1.67184,Ok
0.88759,4.32404,Fatal
-0.11535,1.4957,Ok
0.93335,1.17931,Ok
-0.3303,5.86998,Fatal
-0.06617,1.67158,Ok
0.928,1.515,Ok
0.8947,4.77402,Fatal
0.90425,4.71863,Fatal
0.87321,5.22264,Fatal
-0.24814,5.67368,Fatal
0.96759,1.20157,Ok
0.89237,4.91122,Fatal
-0.33038,5.91142,Fatal
0.82344,1.09547,Ok
0.24562,6.73378,Ok
0.2378,7.17455,Ok
0.83117,1.16595,Ok
0.28282,6.80292,Ok
0.18777,7.21411,Ok
0.90684,4.70673,Fatal
0.17005,6.93088,Ok
0.84669,1.37442,Ok
0.92985,0.89937,Ok
0.89266,4.6386,Fatal
0.89061,4.38568,Fatal
-0.10505,1.28695,Ok
-0.15285,1.34488,Ok
-0.15786,1.86902,Ok
0.87356,1.12568,Ok
-0.16085,1.78645,Ok
-0.25475,5.789,Fatal
0.23361,7.15699,Ok
-0.30956,6.01642,Fatal
0.8488,4.63233,Fatal
0.8849,1.19851,Ok
-0.06023,1.70924,Ok
0.93878,1.41479,Ok
-0.11155,1.30741,Ok
-0.20319,2.09342,Ok
0.85067,4.91269,Fatal
-0.32755,5.55583,Fatal
0.2292,6.99726,Fatal
-0.19359,5.82744,Fatal
-0.40229,6.35531,Fatal
1.04474,1.22244,Ok
-0.26415,6.13675,Fatal
-0.28213,6.23197,Fatal
-0.31775,5.85798,Fatal
-0.35679,5.97237,Fatal
-0.28992,5.76268,Fatal
-0.21092,1.78331,Ok
0.88494,1.30268,Ok
0.91121,4.61355,Fatal
0.88228,1.42348,Ok
0.91568,1.19257,Ok
-0.26168,6.35643,Fatal
-0.36853,5.7665,Fatal
-0.34351,6.05432,Fatal
0.19852,6.93251,Ok
-0.02203,1.44135,Ok
0.94543,1.17525,Ok
0.93263,1.45599,Ok
0.31736,7.06249,Ok
-0.14555,2.20499,Ok
0.91838,4.47597,Fatal
0.91131,1.44145,Ok
0.91456,1.25457,Ok
-0.28548,6.09207,Fatal
0.18469,7.30117,Ok
-0.03,1.75598,Ok
0.90989,4.81568,Fatal
-0.24955,5.4656,Fatal
-0.08524,1.42281,Ok
-0.34439,6.08297,Fatal
0.16714,7.13941,Ok
0.24386,7.07098,Ok
0.29598,7.253,Ok
0.89235,4.28515,Fatal
0.92189,1.3211,Ok
-0.08952,1.47525,Ok
-0.27656,5.91042,Fatal
0.9113,1.23546,Ok
0.77367,4.45328,Fatal
-0.26272,5.98023,Fatal
0.87236,4.9437,Fatal
0.18941,6.71155,Ok
0.93563,4.51478,Fatal
0.88751,8.6199,Fatal
0.82471,4.18785,Fatal
0.23386,6.95458,Ok
0.87261,4.50322,Fatal
0.89431,4.66989,Fatal
0.28034,7.0948,Ok
0.25159,6.81552,Ok
0.25904,7.16937,Ok
0.25514,6.98828,Ok
0.84913,1.53589,Ok
0.20311,6.82075,Ok
-0.10626,1.63372,Ok
-0.27868,5.58829,Fatal
0.87143,4.76965,Fatal
0.91114,1.06882,Ok
-0.05478,1.79001,Ok
-0.16032,1.37679,Ok
-0.1057,1.62163,Ok
-0.39466,5.8537,Fatal
-0.06003,1.69031,Ok
-0.49181,7.3359,Ok
-0.32748,5.5912,Fatal
-0.31996,6.14107,Fatal
-0.37686,5.62473,Fatal
-0.08628,1.36981,Ok
-0.26463,5.90622,Fatal
0.15597,6.99797,Ok
-0.35063,6.04723,Fatal
-0.26959,5.37586,Fatal
0.96788,1.72232,Ok
-0.13392,1.48695,Ok
-0.33999,5.75917,Fatal
-0.29833,5.92179,Fatal
0.9409,1.21692,Ok
-0.09959,1.74195,Ok
-0.33314,5.86879,Fatal
-0.08174,1.76435,Ok
0.89529,4.75559,Fatal
0.90818,4.32492,Fatal
-0.13284,1.79661,Ok
-0.14406,1.38831,Ok
-0.29026,5.95156,Fatal
0.28456,7.12625,Ok
-0.18216,1.84286,Ok
-0.35073,5.88119,Fatal
0.94482,1.21113,Ok
0.91739,1.19136,Ok
-0.18335,1.7957,Ok
0.84489,1.1146,Ok
-0.24029,1.80644,Ok
-0.06829,1.89751,Ok
0.89471,4.24488,Fatal
0.92262,4.92161,Fatal
0.7573,5.2148,Fatal
0.97987,1.22358,Ok
-0.0838,1.72913,Ok
0.22107,6.71736,Ok
0.84822,4.42008,Fatal
-0.32981,6.11298,Fatal
0.88784,1.0742,Ok
-0.14963,1.73334,Ok
0.90318,4.32328,Fatal
-0.29877,5.72602,Fatal
0.92673,4.43615,Fatal
-0.3524,5.86023,Fatal
0.8571,1.80138,Ok
-0.31747,6.13579,Fatal
-0.18946,1.40547,Ok
0.8045,4.40257,Fatal
-0.34003,5.89825,Fatal
0.25776,6.87637,Ok
-0.16333,1.78031,Ok
-0.1302,1.44726,Ok
0.88523,4.69411,Fatal
0.77558,4.49106,Fatal
-0.28925,5.68315,Fatal
0.91966,4.30433,Fatal
-0.07297,9.25792,Fatal
0.88473,0.86432,Ok
0.19741,6.93925,Ok
-0.11313,1.69653,Ok
0.86451,1.39285,Ok
-0.21134,6.09149,Fatal
0.89764,1.2112,Ok
0.11319,7.11332,Ok
-0.24924,5.96471,Fatal
0.79951,4.81045,Fatal
-0.31137,5.56531,Fatal
0.24451,6.99285,Ok
-0.12715,2.14072,Ok
0.93224,1.34654,Ok
-0.10098,1.49345,Ok
0.95582,1.09774,Ok
0.9288,4.54435,Fatal
-0.32215,5.73918,Fatal
-0.30178,6.12595,Fatal
0.80907,4.67864,Fatal
-0.11799,1.90249,Ok
-0.07748,1.81831,Ok
-0.16994,1.25704,Ok
0.22534,7.12575,Ok
0.22374,7.08377,Ok
0.90032,5.00559,Fatal
-0.27275,5.54624,Fatal
-0.19565,1.64907,Ok
-0.06259,1.81825,Ok
0.84476,1.66375,Ok
-0.33933,5.72928,Fatal
-0.26181,5.70531,Fatal
-0.07992,1.30037,Ok
-0.22197,5.85787,Fatal
0.93694,4.53321,Fatal
-0.23003,1.54704,Ok
0.20617,6.98266,Ok
-0.29977,5.57192,Fatal
-0.18599,1.6244,Ok
0.83363,1.73065,Ok
0.93504,1.57692,Ok
0.19906,7.27328,Ok
0.28005,7.13326,Ok
0.21064,6.94418,Ok
0.2579,7.03918,Ok
-0.32224,5.82028,Fatal
0.96578,4.53024,Fatal
0.24491,6.89813,Ok
0.90472,4.73588,Fatal
0.25184,6.93507,Ok
0.25023,6.96158,Ok
0.21925,7.34527,Ok
-0.3053,5.47998,Fatal
0.79039,4.50858,Fatal
-0.1227,2.07922,Ok
0.20817,7.08447,Ok
-0.32064,6.10672,Fatal
0.89862,4.78623,Fatal
0.82758,4.36807,Fatal
-0.30273,5.91027,Fatal
-0.30463,5.82594,Fatal
-0.07102,1.54477,Ok
0.94757,4.43693,Fatal
0.28393,6.98179,Ok
-0.13182,1.616,Ok
-0.25302,5.94702,Fatal
0.9031,1.34164,Ok
0.82477,4.63377,Fatal
0.23379,6.96871,Ok
0.89479,4.63275,Fatal
0.17972,7.13406,Ok
0.87864,4.68711,Fatal
-0.1826,1.5482,Ok
0.18729,6.94097,Ok
0.91897,1.53384,Ok
-0.16061,1.44472,Ok
0.92178,1.21184,Ok
0.37125,6.66904,Fatal
0.20948,7.06755,Ok
0.13958,6.98932,Ok
-0.09661,1.62674,Ok
-0.29151,5.87905,Fatal
-0.27989,5.81164,Fatal
-0.27135,6.03053,Fatal
0.93032,4.81556,Fatal
0.16572,7.19905,Ok
0.77197,4.70811,Fatal
0.91552,4.34966,Fatal
-0.08962,1.81999,Ok
0.31638,7.3695,Ok
0.23418,6.91644,Ok
0.96145,1.12996,Ok
0.25222,6.80635,Ok
0.26623,6.99431,Ok
0.26674,7.04735,Fatal
-0.28655,6.04548,Fatal
-0.08063,2.00749,Ok
0.96311,1.66229,Ok
-0.21475,1.50009,Ok
0.96089,1.19034,Ok
0.83549,4.45642,Fatal
-0.1315,1.5899,Ok
0.93769,1.17395,Ok
0.90564,1.2545,Ok
0.93212,1.2593,Ok
-0.14861,1.70941,Ok
0.98414,1.35863,Ok
0.84442,4.69512,Fatal
-0.3218,6.05085,Fatal
0.16571,6.96659,Ok
0.85104,4.37098,Fatal
0.88467,4.77305,Fatal
-0.28613,6.10854,Fatal
0.86629,4.61119,Fatal
0.89173,1.12536,Ok
1.05682,1.71569,Ok
0.8707,4.92682,Fatal
0.9623,1.61997,Ok
1.0198,4.57253,Fatal
0.19349,7.08126,Ok
-0.05834,1.30687,Ok
0.83367,4.92311,Fatal
0.87677,4.82635,Fatal
-0.23048,1.78504,Ok
0.82719,4.82367,Fatal
0.26335,7.16442,Ok
1.03355,1.28576,Ok
0.94347,1.64704,Ok
0.93239,1.30495,Ok
0.2163,6.68487,Ok
-0.28857,5.85713,Fatal
-0.07147,1.44686,Ok
-0.31221,5.76789,Fatal
-0.24416,6.05097,Fatal
-0.05841,2.09488,Ok
0.96587,1.62059,Ok
-0.04412,1.25338,Ok
-0.07823,1.47839,Ok
-0.36689,6.18157,Fatal
0.2453,6.88362,Ok
0.96343,1.28478,Ok
0.21636,6.92083,Ok
-0.33579,6.43473,Fatal
0.84885,4.45248,Fatal
-0.2607,5.99719,Fatal
1.01179,1.48815,Ok
-0.29747,5.92678,Fatal
0.90533,4.33684,Fatal
0.86024,4.5446,Fatal
0.87607,4.82655,Fatal
0.22204,6.89786,Ok
0.90796,1.47907,Ok
0.84727,4.60365,Fatal
0.96609,4.7844,Fatal
-0.30904,6.07357,Fatal
0.92109,1.34216,Ok
0.21023,6.86222,Ok
-0.11651,1.54722,Ok
-0.30546,5.79968,Fatal
-0.17342,5.75083,Fatal
-0.278,5.98021,Fatal
0.88833,3.54479,Fatal
0.90229,1.10837,Ok
0.19754,7.11831,Ok
0.19645,7.22474,Ok
0.18316,7.22511,Ok
0.94654,1.48371,Ok
-0.33776,5.73558,Fatal
-0.08931,1.55526,Ok
-0.16565,1.75484,Ok
0.2389,6.93659,Ok
0.89188,4.89676,Fatal
0.93275,1.67602,Ok
0.92256,4.62234,Fatal
0.9628,4.46355,Fatal
-0.15564,1.39195,Ok
0.88676,4.36396,Fatal
0.17797,6.46538,Ok
1.00084,4.5727,Fatal
-0.06363,1.49788,Ok
-0.30118,5.77634,Fatal
0.85385,5.06761,Fatal
-0.20393,1.6683,Ok
0.90104,1.36678,Ok
-0.37872,6.09611,Fatal
0.25177,7.1377,Ok
0.98364,1.49148,Ok
-0.21217,1.50283,Ok
-0.13337,1.69799,Ok
0.89859,4.19925,Fatal
-0.30726,5.98702,Fatal
0.24548,6.89127,Ok
0.8036,4.56069,Fatal
-0.16941,1.65833,Ok
0.9739,1.40179,Ok
0.8968,4.59641,Fatal
-0.16382,1.76259,Ok
0.83364,4.50692,Fatal
0.82069,4.61711,Fatal
0.88605,1.42852,Ok
-0.1176,1.66727,Ok
-0.35107,6.17359,Fatal
0.81045,4.70656,Fatal
0.94171,4.96026,Fatal
0.26485,6.76106,Ok
0.21659,6.97856,Ok
0.8328,4.71746,Fatal
0.85435,4.78286,Fatal
-0.06696,1.33909,Ok
0.2182,6.85249,Ok
0.94352,0.84806,Ok
-0.18576,1.69975,Ok
0.21909,7.55585,Ok
-0.3257,6.09044,Fatal
-0.28126,5.84439,Fatal
0.79324,4.39535,Fatal
0.92476,1.54107,Ok
-0.33735,5.73301,Fatal
0.90591,1.38153,Ok
0.80946,0.88293,Ok
-0.13051,1.92492,Ok
0.19205,7.27132,Ok
-0.3306,5.96006,Fatal
-0.1186,1.6166,Ok
0.83898,1.30318,Ok
0.79412,0.9132,Ok
0.2036,7.43309,Ok
-0.14862,1.37994,Ok
-0.36341,5.96215,Fatal
-0.14607,1.05694,Ok
0.88491,1.73498,Ok
0.18658,7.25075,Ok
0.91042,1.45765,Ok
0.88407,1.34608,Ok
0.92449,1.46369,Ok
-0.1193,1.8982,Ok
-0.08234,1.74273,Ok
0.21214,7.2892,Ok
-0.28179,5.67028,Fatal
0.18759,6.78451,Ok
-0.08238,1.46295,Ok
0.91106,1.4647,Ok
-0.10753,1.72257,Ok
0.25072,6.96197,Ok
0.23135,7.00671,Ok
-0.34377,5.75699,Fatal
0.21165,6.90932,Ok
-0.34888,5.26038,Fatal
0.88161,1.43535,Ok
0.86528,4.66197,Fatal
-0.1535,1.68979,Ok
0.8803,4.44535,Fatal
0.22683,7.18172,Ok
0.9512,1.3199,Ok
0.93907,4.50229,Fatal
0.26402,7.33843,Ok
0.80871,1.50922,Ok
-0.09639,1.34095,Ok
0.82324,4.27412,Fatal
-0.49501,8.30389,Ok
-0.1136,1.46475,Ok
-0.1022,1.42014,Ok
-0.06307,1.14447,Ok
0.85611,4.41787,Fatal
0.24667,7.32065,Ok
0.88975,4.61526,Fatal
-0.14256,1.67823,Ok
0.33592,7.27745,Ok
0.30355,6.99145,Ok
0.92042,1.49631,Ok
-0.10447,1.69117,Ok
0.31827,8.07766,Ok
0.94914,1.41696,Ok
0.95587,0.97075,Ok
-0.19377,0.90747,Ok
-0.06696,1.71016,Ok
-0.32171,5.95486,Fatal
0.80384,4.73894,Fatal
-0.31641,5.9783,Fatal
0.93904,4.10858,Fatal
0.89505,1.3151,Ok
0.90944,4.80443,Fatal
-0.29605,5.91287,Fatal
0.27886,6.3362,Ok
0.95172,4.74087,Fatal
-0.23795,6.03442,Fatal
0.87559,4.47026,Fatal
0.88,4.68455,Fatal
-0.05561,1.62604,Ok
0.90335,1.6695,Ok
-0.25364,5.68705,Fatal
0.90544,4.87104,Fatal
-0.09467,1.42056,Ok
0.89641,1.61668,Ok
-0.38837,5.71622,Fatal
-0.16738,1.88028,Ok
-0.31734,5.69753,Fatal
-0.30857,6.08688,Fatal
0.21688,7.13282,Ok
0.86149,1.09879,Ok
0.97562,1.14837,Ok
0.23996,6.8114,Ok
-0.11161,1.70335,Ok
0.94709,1.22184,Ok
0.92999,1.01086,Ok
-0.2465,5.67365,Fatal
-0.30092,5.89073,Fatal
0.98774,4.63986,Fatal
0.28427,6.88712,Ok
0.83943,4.48037,Fatal
0.93972,0.84656,Ok
-0.28469,5.31294,Fatal
1.01715,1.08809,Ok
0.91525,4.35458,Fatal
0.88472,4.63224,Fatal
-0.36793,5.88013,Fatal
0.91395,1.34459,Ok
-0.16882,1.37347,Ok
0.79551,4.52991,Fatal
0.12207,7.18817,Ok
-0.64423,2.97934,Fatal
-0.18583,1.45887,Ok
0.90214,1.43731,Ok
0.84904,4.7146,Fatal
0.85632,4.42151,Fatal
0.85974,4.61783,Fatal
-0.09409,1.68624,Ok
0.83423,4.35776,Fatal
0.89875,1.25375,Ok
0.27201,6.88849,Ok
0.92998,4.39866,Fatal
-0.03588,1.61219,Ok
0.26156,6.99739,Ok
0.79857,1.47011,Ok
-0.29778,5.3182,Fatal
-0.33764,5.95869,Fatal
0.90285,4.93315,Fatal
-0.19331,1.21874,Ok
0.86998,4.56509,Fatal
1.03241,1.7276,Ok
-0.20335,5.9476,Fatal
0.22007,7.02636,Ok
0.30444,4.77202,Ok
0.96864,0.83994,Ok
-0.12202,1.41252,Ok
-0.34773,6.35845,Fatal
0.90048,1.78017,Ok
0.73318,4.56606,Fatal
-0.07761,1.94388,Ok
0.14839,6.55362,Ok
0.22787,6.83045,Ok
-0.15787,1.94294,Ok
0.93019,4.42562,Fatal
0.85703,4.71572,Fatal
0.93285,4.57383,Fatal
