a,b,c,LABEL
0.76503,3.5801,3386.12054,Fatal
-0.84101,8.92189,2228.74985,Ok
0.0448,2.10747,1916.42688,Ok
0.80575,7.58859,-816.46498,Ok
-0.92401,2.1654,1197.45001,Fatal
0.16845,2.03064,1665.48764,Ok
0.84443,7.80943,-578.34159,Ok
0.74964,3.5569,3261.16392,Fatal
0.79301,3.45997,3386.86363,Fatal
-0.93398,2.22733,800.71973,Fatal
0.71382,3.59586,3286.5816,Fatal
0.07393,9.10181,3538.0239,Ok
-0.74882,4.92425,262.67307,Ok
0.73844,8.17341,-722.58466,Ok
0.68132,3.50635,3321.23056,Fatal
0.6913,3.16871,3134.88724,Fatal
-0.00191,2.30608,2024.19255,Ok
-0.9861,1.85055,1065.64064,Fatal
0.15401,8.95285,3615.54423,Ok
0.13132,9.42806,3703.68524,Ok
0.16147,9.39699,3613.35906,Ok
0.10111,9.09313,3433.01965,Ok
0.84218,7.56352,-667.50805,Ok
0.81104,3.6922,3427.05543,Fatal
0.11891,1.67846,2060.79049,Ok
-0.71877,0.32877,2261.67618,Ok
0.67238,3.89977,3507.9378,Fatal
0.19143,1.9628,1748.00134,Fatal
-1.04314,1.977,767.0805,Fatal
0.70608,7.75224,-739.04644,Ok
0.82812,7.92772,-681.10126,Ok
0.70151,3.28751,3218.00324,Fatal
0.80496,8.00803,-617.2054,Ok
-1.01542,2.2962,870.22526,Fatal
0.13032,8.84945,3776.39483,Ok
0.86853,8.40589,-663.50735,Ok
0.76549,3.61084,3346.8965,Fatal
-0.96245,2.22201,640.99955,Fatal
0.82448,3.67949,3497.33713,Fatal
0.06156,2.05825,1715.95813,Ok
0.78739,3.11121,3318.37669,Fatal
0.22405,9.59154,3829.38642,Ok
-1.09829,2.12178,1160.82813,Fatal
0.72289,3.61557,3256.71916,Fatal
0.78636,8.12928,-947.35558,Ok
-1.06047,1.81467,750.45009,Fatal
-0.91214,2.12876,559.01861,Fatal
0.84739,8.16275,-787.41953,Ok
0.72847,7.85156,-1073.49499,Ok
-0.99938,1.9907,859.20863,Fatal
0.18406,9.02861,3645.15634,Ok
0.14749,2.25719,1836.67505,Ok
0.75168,3.82006,3573.52402,Fatal
0.74971,3.35481,3313.08868,Fatal
0.82116,7.939,-696.96164,Ok
0.18699,9.02546,3529.32753,Ok
0.802,7.55203,-820.43826,Ok
-1.03327,2.07696,1138.88847,Fatal
0.12983,9.00229,3776.54356,Ok
0.09784,2.10539,2111.04483,Ok
0.79787,8.1521,-736.15925,Ok
0.8139,7.94017,-799.13179,Ok
0.13472,2.21809,1808.60529,Ok
0.07313,1.78582,1981.36231,Ok
0.81754,7.60223,-881.18962,Ok
-1.02755,2.16344,848.92038,Fatal
0.80677,3.66428,3262.49557,Fatal
0.09003,1.96669,1834.57056,Ok
0.18087,8.99397,3774.74049,Ok
-0.99082,1.89604,630.97702,Fatal
-1.03122,1.62183,593.15203,Fatal
-1.04324,1.66313,874.06343,Fatal
0.77911,3.50999,3189.4989,Fatal
0.80997,7.95853,-610.2595,Ok
0.75112,3.67512,3329.35455,Fatal
0.67201,3.81699,3545.27149,Fatal
0.80575,3.64383,3220.11265,Fatal
0.71884,3.08924,3254.29005,Fatal
0.66823,3.44046,3459.58475,Fatal
0.14879,2.25753,2104.07579,Ok
0.13728,9.25819,3677.35844,Ok
0.17551,8.53213,3638.33256,Ok
0.70716,7.73859,-668.46193,Ok
-0.95579,2.25813,892.18681,Fatal
0.78257,7.97831,-798.54083,Ok
-0.99626,1.4307,413.71202,Fatal
0.69641,8.20405,-616.36923,Ok
0.72756,3.84444,3144.83804,Fatal
0.76505,3.66636,3360.77473,Fatal
0.19739,8.87181,3642.56718,Ok
0.10125,2.18794,1967.25412,Ok
-0.99653,1.72942,856.76404,Fatal
0.1888,8.8623,3689.5651,Ok
0.05955,2.07755,1689.19775,Ok
0.76462,3.17235,3429.42986,Fatal
0.7572,7.79311,-578.16616,Ok
0.81411,8.11062,-957.87629,Ok
0.69227,7.66323,-775.25337,Ok
-1.00564,1.98623,1071.05275,Fatal
0.81746,8.07841,-1047.86522,Ok
0.16279,9.37849,3517.19969,Ok
0.11882,2.17962,1948.25583,Ok
-0.98986,2.06423,1059.65271,Fatal
0.15251,9.42707,3738.46527,Ok
0.15853,8.97034,3547.17392,Ok
-0.99967,2.06507,801.81651,Fatal
0.79439,3.78869,3241.44141,Fatal
0.06322,2.11246,2250.38253,Ok
0.72583,8.03448,-927.06245,Ok
0.74377,3.17119,3447.86965,Fatal
0.18224,9.27667,3402.4295,Ok
0.12443,8.97027,3585.09486,Ok
-0.96531,1.93806,850.08833,Fatal
-1.07436,2.06915,833.69137,Fatal
0.7758,7.7483,-716.85974,Ok
0.11948,2.24401,1741.03657,Fatal
0.79512,7.83972,-800.45886,Ok
0.6985,3.72747,3387.25632,Fatal
0.09622,8.94612,3425.87113,Ok
0.77805,3.43746,3169.11571,Fatal
0.76216,3.64495,3339.30913,Fatal
-0.91471,2.13346,969.22807,Fatal
0.05742,2.30378,2181.76912,Ok
0.03409,8.76139,3877.38747,Ok
0.7446,3.71217,3340.80143,Fatal
-0.97036,1.98873,907.85571,Fatal
0.23285,9.29788,3647.1259,Ok
-1.05444,2.20596,852.08917,Fatal
0.11097,9.17576,3636.11925,Ok
0.17932,9.01804,3574.82646,Ok
0.69566,7.92187,-613.8473,Ok
0.7469,3.39382,3305.96553,Fatal
0.73746,8.42988,-777.2302,Ok
-0.94729,2.09462,837.6311,Fatal
0.74649,7.92349,-881.65722,Ok
-1.00128,2.17336,993.69832,Fatal
0.79969,3.10964,3085.0768,Fatal
0.90522,7.7937,-1171.70484,Ok
0.1592,2.02138,2137.60551,Ok
0.69111,3.27791,3489.83996,Fatal
0.19105,8.73369,3619.46044,Ok
0.68846,3.5675,3271.20431,Fatal
0.7269,3.22539,3542.06375,Fatal
0.70212,3.7772,3441.35875,Fatal
0.8118,8.12928,-818.95829,Ok
-0.95734,1.75185,803.23786,Fatal
0.1314,2.29205,2028.47597,Ok
0.15234,8.85924,3762.91143,Ok
0.8404,7.67722,-865.77951,Ok
0.80793,3.57161,3567.94303,Fatal
0.18713,2.00733,1834.5209,Ok
0.67877,3.66487,3246.78306,Fatal
0.17267,8.8382,3611.38124,Ok
0.83894,8.08163,-795.58818,Ok
0.15983,9.09743,3789.33436,Ok
0.70127,3.55796,3245.26209,Fatal
0.7827,3.61452,3489.61473,Fatal
0.90521,7.99355,-756.57449,Ok
0.79083,3.77995,3137.52861,Fatal
-0.95346,1.16172,952.68964,Fatal
0.19779,8.97858,3700.41849,Ok
0.77121,3.68906,3509.99504,Fatal
0.76529,3.84774,3283.03399,Fatal
0.17348,9.32727,3807.20827,Ok
-0.96854,1.66907,843.02728,Fatal
0.17823,9.01545,3573.79979,Ok
-1.02718,2.43394,635.9582,Fatal
0.82961,7.90858,-724.39431,Ok
0.73861,7.73627,-692.20357,Ok
0.72719,3.50471,3318.26096,Fatal
0.03279,2.30623,1947.25884,Ok
0.1063,8.80662,3483.10391,Ok
0.74626,7.89135,-892.45737,Ok
0.76929,8.38341,-910.69888,Ok
0.80687,3.62217,3314.44919,Fatal
0.11201,2.0885,2077.52907,Fatal
0.14113,1.98489,2073.00125,Ok
-1.00915,1.79947,1100.09991,Fatal
-0.90395,2.32599,849.61489,Fatal
0.09475,1.97771,2007.93604,Ok
0.80728,7.50767,-756.75808,Ok
0.82853,7.96349,-765.07395,Ok
0.65127,5.97206,-395.5166,Ok
0.11483,2.46101,2070.56454,Ok
0.13868,1.67588,1966.34005,Ok
-0.96131,2.14505,877.17359,Fatal
0.0807,2.19481,1837.51526,Ok
-0.93533,1.90314,861.01062,Fatal
0.7426,3.39034,3092.57988,Fatal
0.68776,3.45551,3135.64921,Fatal
0.11801,8.80154,3571.09521,Ok
0.11062,2.02972,1825.72622,Ok
0.6658,3.34455,3159.82803,Fatal
0.19829,9.03136,3543.65232,Ok
0.69705,7.59797,-652.5951,Ok
0.1967,8.95798,3612.90605,Ok
0.79407,8.31821,-1085.61874,Ok
-0.98143,2.06332,1052.87801,Fatal
0.76319,7.82775,-752.03612,Ok
0.811,7.78799,-762.8033,Ok
0.14254,2.65828,1685.82453,Ok
-1.00281,1.91039,605.96442,Fatal
0.12374,9.06848,3676.62262,Ok
0.12301,2.2343,1886.96087,Ok
0.05275,1.6187,1872.98237,Ok
0.12219,1.78159,1777.83979,Ok
0.78845,8.15582,-508.19258,Ok
0.11591,2.24107,2157.5218,Ok
0.0106,2.60755,1913.75074,Ok
-1.03172,2.30625,928.40655,Fatal
0.17619,9.35612,3520.40502,Ok
-0.96018,1.75764,915.2488,Fatal
-0.96065,1.74775,1275.2148,Fatal
0.07862,2.30016,1850.04294,Ok
0.12689,9.08268,3933.86563,Ok
0.11144,2.55801,2194.27897,Ok
0.74645,7.57605,-833.20236,Ok
0.10415,2.34757,1837.53028,Ok
0.2636,8.85991,3346.02002,Ok
0.14125,9.00208,3696.62132,Ok
-1.02069,1.93368,693.29267,Fatal
0.0848,1.98135,1972.70884,Ok
0.1761,8.91302,3790.44861,Ok
0.75343,3.84554,3585.3328,Fatal
-0.91258,1.64534,649.45837,Fatal
0.71732,3.74868,3383.65444,Fatal
-0.98529,2.04632,1023.20935,Fatal
0.17194,8.84107,3801.2961,Ok
0.14065,8.90405,3412.13956,Ok
0.70429,3.583,3565.09262,Fatal
0.75624,3.5658,3313.77018,Fatal
0.69601,3.40837,3333.68442,Fatal
0.81638,7.84462,-1039.49269,Ok
0.61516,3.39206,3435.58107,Fatal
-1.03851,2.18999,939.59133,Fatal
-1.02361,2.04008,1156.84771,Fatal
0.80219,7.99477,-838.30928,Ok
-0.65524,8.62522,689.61774,Ok
-0.87651,1.82518,919.39532,Fatal
0.24704,9.29594,3644.21205,Ok
0.01531,1.86248,1779.91057,Ok
-0.91655,1.86274,507.52683,Fatal
-0.87524,2.07518,943.22576,Fatal
0.76874,3.48354,3416.05725,Fatal
-0.9638,1.87315,643.25432,Fatal
0.10034,8.76607,3583.25934,Ok
-1.03371,1.48497,955.42333,Fatal
0.72038,7.8721,-723.22773,Ok
0.07026,2.92001,2096.82815,Ok
0.74071,7.8572,-786.42562,Ok
-0.99099,1.95034,886.36263,Fatal
0.19368,8.72777,3539.65616,Ok
0.14486,2.24112,1715.36002,Ok
0.12973,8.55118,3611.9113,Ok
0.15302,2.0402,1720.50347,Ok
0.15185,2.09485,2019.43849,Ok
0.19821,8.60991,3494.00557,Ok
0.13682,9.03816,3881.70263,Ok
0.05333,2.322,1742.05716,Ok
0.11068,2.40718,1636.27305,Ok
-1.01161,2.36156,787.57846,Fatal
0.73132,5.68917,1025.91727,Fatal
0.17638,8.52514,3617.38933,Ok
0.68744,3.62091,3355.61731,Fatal
0.81376,8.18817,-706.71178,Ok
0.78099,3.57282,3131.7756,Fatal
-0.98347,1.87663,822.74559,Fatal
-1.04258,2.20619,867.97181,Fatal
0.12975,1.9964,1864.32446,Ok
-1.04151,1.76499,689.85254,Fatal
-1.00601,1.83512,815.02266,Fatal
0.87582,7.92101,-985.61533,Ok
0.71054,3.39817,3343.64738,Fatal
0.11795,2.15376,1909.0314,Ok
0.16754,1.97209,1704.97553,Ok
0.15247,9.01412,3679.22245,Ok
-0.88908,1.87231,948.08595,Fatal
0.08984,2.1953,2133.98125,Ok
0.78076,8.12624,-862.6976,Ok
0.80794,7.84266,-741.16222,Ok
0.6715,3.45245,3107.84005,Fatal
0.12792,2.39888,1780.5335,Ok
0.71671,3.62399,3216.61701,Fatal
-0.98688,2.09637,871.09707,Fatal
-0.93557,2.1409,1089.85509,Fatal
0.80727,7.91366,-750.14608,Ok
0.74955,7.61731,-487.47101,Ok
0.18412,1.79562,2291.38114,Ok
0.21283,2.16157,2058.19715,Fatal
0.71048,7.91732,-727.1021,Ok
0.77975,7.51701,-930.08479,Ok
0.73436,3.38947,3344.65949,Fatal
0.61728,3.47618,3402.37732,Fatal
0.11501,8.96753,3725.15161,Ok
0.1915,8.8867,3806.04631,Ok
0.80846,7.63074,-1005.32629,Ok
0.85849,7.59855,-853.21273,Ok
-1.01892,1.88256,843.68693,Fatal
0.74866,8.19111,-827.39813,Ok
0.17108,8.88302,3609.97767,Ok
-0.98707,2.13846,550.81333,Fatal
-1.02578,2.05896,827.04151,Fatal
0.06174,2.41225,2116.91428,Ok
0.08393,9.62839,3475.43404,Ok
0.0988,2.01735,2200.7823,Ok
0.09401,2.2586,1787.08513,Ok
0.74593,3.03372,3564.76938,Fatal
0.75172,8.07484,-821.72694,Ok
-1.0139,1.87031,805.14205,Fatal
0.80834,7.51322,-751.23353,Ok
-0.93969,1.76316,630.06788,Fatal
0.11334,2.23904,2001.4111,Ok
-0.92498,2.24986,915.09785,Fatal
0.21477,8.9359,3710.65775,Ok
-0.97435,2.14273,1001.79592,Fatal
0.77457,7.5958,-780.8187,Ok
0.75823,3.52027,3200.13124,Fatal
-0.92825,1.90754,882.59325,Fatal
0.13067,2.50603,1893.14862,Ok
0.75469,3.50219,3233.81206,Fatal
-0.96072,1.95229,510.27092,Fatal
0.12704,2.00203,1777.85442,Fatal
0.18459,9.10904,3611.24113,Ok
0.7484,7.95011,-527.04941,Ok
0.82911,7.93374,-863.99344,Ok
0.0964,2.36023,2028.97529,Ok
-0.97414,1.76975,972.25314,Fatal
-0.97259,2.15886,647.2908,Fatal
-1.0578,2.22308,947.42041,Fatal
-0.96884,2.46499,886.11501,Fatal
0.78211,7.8779,-523.83731,Ok
-0.9261,1.85816,1054.33721,Fatal
0.10396,2.07629,2156.26076,Ok
0.12998,2.10121,2109.48386,Ok
0.77486,8.42495,-714.72289,Ok
-0.991,2.55714,642.44787,Fatal
0.73035,3.81639,3368.28085,Fatal
0.7868,7.65243,-900.00436,Ok
0.8109,8.24946,-714.90851,Ok
0.13337,8.86245,3647.62071,Ok
0.2219,1.9554,1814.95876,Ok
0.7335,8.02739,-814.65224,Ok
-0.95253,2.32172,1022.06803,Fatal
0.69414,3.46695,3411.35908,Fatal
-1.02048,2.10881,848.97482,Fatal
0.72671,3.06643,3267.69192,Fatal
0.19453,8.97655,3715.62163,Ok
0.80948,3.93936,3397.02079,Fatal
-0.99962,1.97058,760.74978,Fatal
0.17401,8.98499,3790.76495,Ok
-1.06003,1.88411,893.44474,Fatal
0.78496,7.30298,-877.87235,Ok
0.14967,9.38284,3588.92972,Ok
-0.95097,1.70787,1068.17779,Fatal
0.12471,2.28993,1667.55149,Ok
0.16367,8.85698,3444.90107,Ok
0.77134,8.14275,-822.73738,Ok
0.14106,9.30713,3414.75166,Ok
0.67961,8.00218,-983.12093,Ok
0.7359,3.84327,3329.12963,Fatal
0.84214,8.18511,-981.11379,Ok
0.82622,7.95764,-899.68713,Ok
0.8036,7.89407,-611.29253,Ok
0.1714,2.0989,2144.26968,Ok
-0.95083,1.80706,860.72608,Fatal
0.10617,8.8837,3278.91614,Ok
0.75544,7.34873,-758.68866,Ok
0.08695,2.00668,1868.53664,Ok
-0.89741,1.99655,934.25319,Fatal
0.77546,7.63821,-752.10833,Ok
-1.02043,2.0433,1093.95538,Fatal
0.06911,8.98708,3822.01051,Ok
0.70893,3.20345,3012.52766,Fatal
0.76052,3.32304,3414.52154,Fatal
0.76718,7.87328,-725.7851,Ok
0.12292,2.17054,2074.09572,Ok
0.10721,2.04971,1982.58899,Ok
0.12483,8.8891,3897.91842,Ok
